sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,sex_race
male,69,greater than 45,other,0,0,0,0,f,aggravated assault w/firearm,1,low,0,male-other
male,34,25 - 45,african-american,0,0,0,0,f,felony battery w/prior convict,3,low,1,male-african-american
male,44,25 - 45,other,0,0,0,0,m,battery,1,low,0,male-other
male,43,25 - 45,other,0,0,0,3,f,arrest case no charge,4,low,0,male-other
female,39,25 - 45,caucasian,0,0,0,0,m,battery,1,low,0,female-caucasian
male,27,25 - 45,caucasian,0,0,0,0,f,"poss 3,4 mdma (ecstasy)",4,low,0,male-caucasian
female,37,25 - 45,caucasian,0,0,0,0,m,battery,1,low,0,female-caucasian
male,41,25 - 45,african-american,0,0,0,0,f,"poss3,4 methylenedioxymethcath",4,low,0,male-african-american
male,37,25 - 45,hispanic,0,0,0,0,m,battery,1,low,0,male-hispanic
male,25,25 - 45,african-american,0,0,0,3,f,grand theft in the 3rd degree,10,high,0,male-african-american
male,31,25 - 45,caucasian,0,0,0,6,f,driving while license revoked,5,medium,1,male-caucasian
female,21,less than 25,caucasian,0,0,0,0,f,introduce contraband into jail,4,low,0,female-caucasian
male,43,25 - 45,caucasian,0,0,0,1,m,susp drivers lic 1st offense,1,low,0,male-caucasian
male,32,25 - 45,other,0,0,0,0,m,battery,3,low,0,male-other
male,27,25 - 45,african-american,0,0,0,8,f,carrying concealed firearm,3,low,1,male-african-american
male,33,25 - 45,african-american,0,0,0,0,f,tampering with physical evidence,10,high,1,male-african-american
male,55,greater than 45,caucasian,0,0,0,0,f,arrest case no charge,1,low,0,male-caucasian
male,29,25 - 45,caucasian,0,0,0,0,m,possess cannabis/20 grams or less,2,low,0,male-caucasian
female,21,less than 25,african-american,0,0,0,2,f,arrest case no charge,8,high,0,female-african-american
male,51,greater than 45,african-american,0,0,0,2,m,unlaw use false name/identity,1,low,0,male-african-american
female,51,greater than 45,african-american,0,0,0,7,f,possession of cocaine,2,low,0,female-african-american
male,25,25 - 45,caucasian,0,0,0,9,m,battery,10,high,1,male-caucasian
male,35,25 - 45,african-american,1,0,4,13,f,uttering a forged instrument,8,high,1,male-african-american
male,49,greater than 45,caucasian,0,0,0,0,m,dui level 0.15 or minor in veh,1,low,0,male-caucasian
male,29,25 - 45,african-american,0,0,0,0,f,tampering with physical evidence,4,low,0,male-african-american
female,28,25 - 45,other,0,0,0,0,f,grand theft in the 3rd degree,2,low,0,female-other
male,31,25 - 45,african-american,0,0,1,15,f,attempt armed burglary dwell,5,medium,0,male-african-american
male,30,25 - 45,hispanic,0,0,0,0,m,possess cannabis/20 grams or less,7,medium,0,male-hispanic
male,49,greater than 45,african-american,0,0,0,4,m,battery,1,low,0,male-african-american
male,53,greater than 45,caucasian,0,0,0,8,f,arrest case no charge,5,medium,0,male-caucasian
male,35,25 - 45,african-american,0,0,0,5,f,driving while license revoked,3,low,0,male-african-american
male,62,greater than 45,hispanic,0,0,0,0,m,unlaw lictag/sticker attach,1,low,0,male-hispanic
male,33,25 - 45,other,0,0,0,0,m,battery,1,low,0,male-other
female,56,greater than 45,african-american,0,0,0,0,m,battery,1,low,0,female-african-american
male,45,greater than 45,hispanic,0,0,0,6,f,possession of cocaine,1,low,1,male-hispanic
male,22,less than 25,hispanic,0,0,0,1,f,burglary structure unoccup,4,low,0,male-hispanic
male,39,25 - 45,african-american,0,0,0,1,m,arrest case no charge,4,low,0,male-african-american
male,40,25 - 45,african-american,0,0,0,2,f,arrest case no charge,2,low,0,male-african-american
male,22,less than 25,caucasian,0,0,0,0,f,grand theft in the 3rd degree,8,high,0,male-caucasian
female,26,25 - 45,african-american,0,0,0,1,f,poss cocaine/intent to del/sel,4,low,1,female-african-american
male,32,25 - 45,african-american,0,0,0,0,f,felony battery (dom strang),2,low,0,male-african-american
male,41,25 - 45,african-american,0,0,0,1,m,arrest case no charge,2,low,0,male-african-american
male,30,25 - 45,african-american,0,0,0,8,m,possess cannabis/20 grams or less,10,high,1,male-african-american
male,25,25 - 45,african-american,1,6,1,14,f,arrest case no charge,10,high,1,male-african-american
male,20,less than 25,other,0,0,0,0,f,tampering with physical evidence,5,medium,1,male-other
female,35,25 - 45,african-american,0,0,0,1,m,arrest case no charge,2,low,0,female-african-american
male,25,25 - 45,caucasian,0,0,0,9,f,pos cannabis w/intent sel/del,8,high,1,male-caucasian
female,20,less than 25,caucasian,0,0,0,0,f,"poss3,4 methylenedioxymethcath",7,medium,0,female-caucasian
female,54,greater than 45,caucasian,0,0,0,0,m,dui level 0.15 or minor in veh,1,low,0,female-caucasian
female,44,25 - 45,hispanic,0,0,0,0,m,battery,1,low,0,female-hispanic
male,19,less than 25,african-american,0,0,0,1,m,battery,4,low,1,male-african-american
male,30,25 - 45,african-american,0,0,0,1,f,fail to redeliv hire/leas prop,2,low,0,male-african-american
female,39,25 - 45,caucasian,0,0,0,0,f,aggravated assault w/dead weap,1,low,1,female-caucasian
male,30,25 - 45,caucasian,0,0,0,0,f,possession of methamphetamine,4,low,0,male-caucasian
male,31,25 - 45,caucasian,0,0,0,0,m,battery,5,medium,0,male-caucasian
female,39,25 - 45,caucasian,0,0,0,1,f,possession of morphine,4,low,0,female-caucasian
male,43,25 - 45,caucasian,0,0,0,1,f,possession of cocaine,1,low,0,male-caucasian
male,34,25 - 45,caucasian,0,0,0,0,f,aggravated assault w/firearm,5,medium,0,male-caucasian
male,37,25 - 45,african-american,0,0,0,3,f,"poss3,4 methylenedioxymethcath",2,low,0,male-african-american
male,31,25 - 45,african-american,0,0,0,1,m,battery,7,medium,0,male-african-american
female,30,25 - 45,other,0,0,0,1,f,crim use of personal id info,2,low,0,female-other
male,31,25 - 45,caucasian,0,0,0,13,f,arrest case no charge,10,high,1,male-caucasian
male,52,greater than 45,caucasian,0,0,0,3,m,battery,9,high,0,male-caucasian
male,42,25 - 45,caucasian,0,0,0,6,f,possession of alprazolam,3,low,0,male-caucasian
female,25,25 - 45,caucasian,0,0,0,2,f,arrest case no charge,4,low,0,female-caucasian
male,30,25 - 45,caucasian,0,0,0,1,m,agg fleeing and eluding,2,low,0,male-caucasian
female,37,25 - 45,other,0,0,0,2,m,petit theft,2,low,0,female-other
female,24,less than 25,african-american,0,0,0,0,m,battery,2,low,0,female-african-american
male,31,25 - 45,african-american,0,0,0,1,m,lewdness violation,2,low,0,male-african-american
female,20,less than 25,african-american,1,0,0,1,f,arrest case no charge,10,high,0,female-african-american
female,43,25 - 45,caucasian,0,0,0,0,m,dui level 0.15 or minor in veh,1,low,0,female-caucasian
male,32,25 - 45,african-american,0,0,0,11,f,poss pyrrolidinovalerophenone,6,medium,1,male-african-american
male,33,25 - 45,african-american,0,0,0,8,m,assault,5,medium,1,male-african-american
female,20,less than 25,african-american,0,0,0,0,f,grand theft in the 3rd degree,6,medium,0,female-african-american
female,26,25 - 45,caucasian,0,0,0,0,m,fail to obey police officer,6,medium,0,female-caucasian
male,63,greater than 45,hispanic,0,0,0,1,f,arrest case no charge,1,low,0,male-hispanic
female,32,25 - 45,african-american,0,0,0,4,f,arrest case no charge,10,high,1,female-african-american
male,29,25 - 45,hispanic,0,0,0,1,f,grand theft in the 3rd degree,4,low,0,male-hispanic
male,30,25 - 45,african-american,0,0,0,1,f,burglary conveyance assault/bat,7,medium,0,male-african-american
male,48,greater than 45,caucasian,0,0,0,2,m,battery,2,low,0,male-caucasian
male,22,less than 25,african-american,0,0,0,1,f,arrest case no charge,2,low,0,male-african-american
male,31,25 - 45,caucasian,0,0,0,0,f,"deliver 3,4 methylenediox",5,medium,0,male-caucasian
male,23,less than 25,hispanic,0,0,0,0,f,"poss3,4 methylenedioxymethcath",3,low,0,male-hispanic
female,32,25 - 45,african-american,0,0,0,5,f,aggravated assault w/dead weap,7,medium,0,female-african-american
male,52,greater than 45,hispanic,0,0,0,2,m,leave acc/attend veh/more $50,1,low,0,male-hispanic
male,62,greater than 45,african-american,0,0,0,8,f,possession of cocaine,4,low,0,male-african-american
male,28,25 - 45,african-american,0,0,0,6,m,resist/obstruct w/o violence,6,medium,1,male-african-american
male,54,greater than 45,hispanic,0,0,0,2,f,burglary unoccupied dwelling,1,low,0,male-hispanic
